Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
🐪🚁 When a sheepdog doesn't quite cut it... https://t.co/l5vk7oKBop,Mon Jul 30 12:01:06 +0000 2018,0.257,0.225,0.0,0.775,1
"RT @BBCRadio4: BLOOPERS! 
@ProfBrianCox can't tell his hominins from his hominids. Or possibly the other way around.
Much more Monkey Cage…",Mon Jul 30 11:56:23 +0000 2018,0.0,0.0,0.0,1.0,2
"Why Americans will be able to 3D print their own guns from August.

https://t.co/8NR7qFaEZY",Mon Jul 30 11:03:01 +0000 2018,0.0,0.0,0.0,1.0,3
❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels.… https://t.co/zp4vrauXes,Mon Jul 30 09:00:15 +0000 2018,0.477,0.129,0.0,0.871,4
"Now this is an impressive line-up!

Gemma Arterton, Catherine Tate, @Gemma_Chan1, @emiliaclarke, @IAMLenaHeadey and… https://t.co/D5rDJJ7dyC",Mon Jul 30 08:13:57 +0000 2018,0.556,0.204,0.0,0.796,5
"🐈 Our cats may purr when we pet them, but it’s a much more complicated form of communication than we've assumed.
👉… https://t.co/vz6MdvigWx",Mon Jul 30 07:27:06 +0000 2018,0.0,0.0,0.0,1.0,6
"The pika might just be the world's cutest thief!
#AnimalsBehavingBadly https://t.co/v8dSKoVYgD",Mon Jul 30 07:01:05 +0000 2018,0.176,0.248,0.206,0.546,7
RT @bbcarts: Tsundoku: The art of buying books and never reading them https://t.co/nzmym0Gtsh,Sun Jul 29 20:26:13 +0000 2018,0.0,0.0,0.0,1.0,8
Stacey Dooley meets a Roma girl who turned to prostitution after she was removed from her parents at 13. https://t.co/I7opQRZ6Z2,Sun Jul 29 20:03:05 +0000 2018,0.0,0.0,0.0,1.0,9
"🇺🇸 @edballs travels to America's Deep South to immerse himself in the lives of those who put Trump in power, and le… https://t.co/2oLWounf1y",Sun Jul 29 19:02:05 +0000 2018,0.422,0.109,0.0,0.891,10
"RT @BBCSport: Geraint Thomas has done it! 👏🏴󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France 👉 https://t.co/ZtkRdPtGio…",Sun Jul 29 17:29:30 +0000 2018,0.624,0.146,0.0,0.854,11
😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,Sun Jul 29 17:03:03 +0000 2018,0.67,0.315,0.094,0.591,12
"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship. https://t.co/DVpVhIssTc",Sun Jul 29 16:06:01 +0000 2018,0.226,0.153,0.106,0.741,13
😂📺🇦🇱 Here’s what happened when @RomeshRanga went on Albanian TV. https://t.co/WQ8kMjSFco,Sun Jul 29 15:03:02 +0000 2018,0.0,0.0,0.0,1.0,14
Follow live coverage as 150 of the world's best cyclists compete on 200km of closed roads in London and Surrey. 🚴🚴🚴… https://t.co/it0KrVzqqu,Sun Jul 29 14:01:05 +0000 2018,0.637,0.167,0.0,0.833,15
"RT @BBCSportWales: It's a matter of hours until Geraint Thomas is crowned as the first Welshman to win the Tour de France

👉 Here's how he…",Sun Jul 29 13:20:07 +0000 2018,0.599,0.159,0.0,0.841,16
"RT @bbcgetinspired: Sam Maycock is fulfilling his dad Nigel's dream by taking on the 100-mile route in #RideLondon.

Nigel died in October…",Sun Jul 29 13:18:07 +0000 2018,-0.382,0.078,0.141,0.781,17
This teenager was banned from performing in drag at his school's end-of-year talent show. https://t.co/Hi6uXtSAFz,Sun Jul 29 13:01:07 +0000 2018,-0.273,0.142,0.249,0.609,18
"RT @BBCFood: Get the whole family making jaffa cakes this weekend 👇
https://t.co/8R0azXouDH https://t.co/xEC8aeQGs0",Sun Jul 29 11:21:30 +0000 2018,0.0,0.0,0.0,1.0,19
"What is #ThinPrivilege and who has it?
👉 https://t.co/Ocbj6tAabk https://t.co/HMapWPvJt1",Sun Jul 29 11:01:05 +0000 2018,0.0,0.0,0.0,1.0,20
"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/d4FhfFj5Sr",Sun Jul 29 10:12:02 +0000 2018,0.0,0.0,0.0,1.0,21
"😂 With 37 Facebook likes and the world's most convoluted chant, the CNCSC is a force to be reckoned with.… https://t.co/7wQhKjH26j",Sun Jul 29 09:03:08 +0000 2018,0.691,0.224,0.064,0.712,22
"😥 An endangered red squirrel has died after becoming trapped inside a discarded plastic jar.
👉… https://t.co/19IZCDeWBZ",Sun Jul 29 08:01:07 +0000 2018,-0.905,0.106,0.457,0.437,23
"Two tiger brothers enjoy their first swimming lesson. 🐯💦 #InternationalTigerDay

https://t.co/QNRnmqTcK5",Sun Jul 29 07:01:03 +0000 2018,0.494,0.242,0.0,0.758,24
"Stand-up comedy from Stewart Lee, recorded live from the Palace Theatre, Southend-on-Sea. 

Stewart Lee Content Pro… https://t.co/VCNnbkhi7J",Sat Jul 28 20:45:06 +0000 2018,0.361,0.135,0.0,0.865,25
"RT @BBCOne: These seadragons are dancing together in a courtship ritual - and it's absolutely beautiful.

The complete series of Life is av…",Sat Jul 28 20:29:40 +0000 2018,0.636,0.173,0.0,0.827,26
The shocking story of a young man who shot his parents. https://t.co/6O1qzsiKAk,Sat Jul 28 20:02:03 +0000 2018,-0.402,0.0,0.213,0.787,27
RT @BBCTwo: Ever wondered how toilets are made? We're going #InsideTheFactory... 🚽😄 https://t.co/lgFuM6ER2p,Sat Jul 28 18:12:24 +0000 2018,0.0,0.0,0.0,1.0,28
😂 Genius https://t.co/nqWGYEEBy4,Sat Jul 28 18:07:05 +0000 2018,0.44,0.355,0.178,0.467,29
"'Doesn't matter what's written on the packet, wet wipes do not disintegrate.'
#TheFiveBillionPoundSuperSewer https://t.co/Ja9nBFnr6b",Sat Jul 28 17:03:00 +0000 2018,-0.019,0.0,0.076,0.924,30
"Are you sure you don’t gender-stereotype children?
#NoMoreBoysAndGirls https://t.co/iThZ2P6REW",Sat Jul 28 16:03:06 +0000 2018,0.318,0.223,0.0,0.777,31
"RT @bbcideas: Gin and tonic, the perfect pair. So, how did they come together? 🤔

More Edible Histories 🎥: https://t.co/8nH3A1rqFP https://…",Sat Jul 28 15:31:04 +0000 2018,0.572,0.15,0.0,0.85,32
"RT @BBCSport: Geraint Thomas just needs to roll over the line in Paris tomorrow to win the 2018 Tour de France.

He'll become the first Wel…",Sat Jul 28 15:30:28 +0000 2018,0.586,0.132,0.0,0.868,33
"Branded and beaten: The children accused of witchcraft and murder.
👉 https://t.co/0Lzx9wdLa1 https://t.co/Syvy5ca7QG",Sat Jul 28 15:04:06 +0000 2018,-0.866,0.0,0.427,0.573,34
🐾❤️ Heaven really is a place on Earth... https://t.co/hCE7MqzF2P,Sat Jul 28 14:06:01 +0000 2018,0.511,0.32,0.0,0.68,35
📖🥪 A brief history of the humble sarnie. https://t.co/25GXnqIXZy,Sat Jul 28 13:02:06 +0000 2018,0.0,0.0,0.0,1.0,36
"RT @bbcgetinspired: ""You can rise again, it's not as though one thing happens to you and that's the end of your story."" 

After being hit b…",Sat Jul 28 12:02:40 +0000 2018,0.0,0.0,0.0,1.0,37
RT @BBCScienceNews: Climate change made heatwave 'twice as likely' https://t.co/FQqzyhbiK4,Sat Jul 28 12:02:08 +0000 2018,0.0,0.0,0.0,1.0,38
"🧠 'Damaging your brain might not kill you, but can change your behaviour.'

Five fascinating facts about the human… https://t.co/XLoaV7C1uM",Sat Jul 28 11:03:04 +0000 2018,0.716,0.271,0.082,0.647,39
"RT @BBCWorld: Simply stunning!

The longest #BloodMoon eclipse of the 21st Century as seen around the world

https://t.co/aHwGkVc3OP https:…",Sat Jul 28 10:46:22 +0000 2018,0.439,0.138,0.0,0.862,40
Need to clean your headphone socket? Check out this #TechHack. https://t.co/RDtpHt03ZX,Sat Jul 28 10:05:04 +0000 2018,0.402,0.213,0.0,0.787,41
"📚🌍 With classic and contemporary choices perfectly matched to destinations all over the world, here's your ultimate… https://t.co/fsadf3W3rU",Sat Jul 28 09:03:03 +0000 2018,0.637,0.198,0.0,0.802,42
🛌 Namastay in bed! https://t.co/s2J2Uf4U99,Sat Jul 28 08:02:06 +0000 2018,0.0,0.0,0.0,1.0,43
🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt,Sat Jul 28 07:05:02 +0000 2018,0.494,0.314,0.0,0.686,44
A pair of beavers are being released into the Forest of Dean with the hope they'll help prevent flooding in the are… https://t.co/wD23PTQUPg,Fri Jul 27 18:01:08 +0000 2018,0.691,0.261,0.0,0.739,45
RT @bbcpress: Stellar cast and creative team unveiled for @BBCOne adaptation of @PhilipPullman's #HisDarkMaterials: https://t.co/4Bm3OIaXCH…,Fri Jul 27 17:47:28 +0000 2018,0.44,0.172,0.0,0.828,46
🎅🎄😂 Too soon? https://t.co/L368bWE3t5,Fri Jul 27 17:02:03 +0000 2018,0.0,0.0,0.0,1.0,47
When your boss is looking for you but it's after 5pm... 👋 #FridayFeeling https://t.co/J3NZSVi7jj,Fri Jul 27 15:59:00 +0000 2018,0.649,0.235,0.0,0.765,48
"👀 Who's excited to see the #BloodMoon tonight? 
#LunarEclipse https://t.co/jhx3zLDOTS",Fri Jul 27 15:16:01 +0000 2018,0.34,0.211,0.0,0.789,49
"👃💐 How teenage perfumes smell to you - an actual adult.
👉 https://t.co/PCRmoujpVJ https://t.co/P0tmdqfbUC",Fri Jul 27 13:01:03 +0000 2018,0.0,0.0,0.0,1.0,50
"RT @BBCEarth: Just a seal getting a good tummy-rub from a diver, no biggie 😍

#OurBluePlanet with @Sealdiver https://t.co/L8yAINvPdJ",Fri Jul 27 12:50:53 +0000 2018,0.572,0.245,0.091,0.664,51
